MSZoning,Street,Alley,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FullBath,KitchenQual,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageCond,MiscFeature,SaleType,SaleCondition,GrLivArea_Log,1stFlrSF_Log,SalePrice_Log
RL,Pave,None,Inside,Edwards,Norm,Norm,Duplex,1Story,4,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,PConc,None,0.0,GasA,TA,N,FuseP,2,Fa,None,None,1979.0,None,0.0,None,None,WD,AdjLand,7.049254841255837,7.049254841255837,11.314474526246391
RL,Pave,None,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,CBlock,TA,1088.0,GasA,Ex,Y,SBrkr,2,TA,TA,Attchd,1965.0,RFn,2.0,TA,None,WD,Abnorml,7.188412736496954,7.188412736496954,11.982929094215963
RL,Pave,None,Inside,Timber,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,1350.0,GasA,Gd,Y,SBrkr,1,TA,Gd,Attchd,1959.0,RFn,1.0,TA,None,WD,Normal,7.191429330036379,7.191429330036379,12.043553716032399
RL,Pave,None,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,5,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,CBlock,Gd,840.0,GasA,Gd,Y,SBrkr,1,Gd,None,Attchd,1983.0,RFn,2.0,Gd,None,WD,Normal,6.784457062637643,6.784457062637643,11.877568578558138
RL,Pave,None,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,5,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,CBlock,Gd,938.0,GasA,TA,Y,SBrkr,1,TA,None,Detchd,1977.0,Unf,1.0,TA,None,WD,Normal,6.843749949006225,6.843749949006225,11.777210959615614
RL,Pave,None,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,CBlock,TA,1150.0,GasA,Ex,Y,FuseA,1,TA,None,Attchd,1959.0,RFn,1.0,TA,None,WD,Normal,7.047517221357296,7.047517221357296,11.856515169360305
RL,Pave,None,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,PConc,Ex,1752.0,GasA,Ex,Y,SBrkr,2,Ex,Gd,Attchd,2005.0,RFn,2.0,TA,None,WD,Normal,7.468513271496337,7.468513271496337,12.675763725937609
RL,Pave,None,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,PConc,Ex,1434.0,GasA,Ex,Y,SBrkr,1,Gd,Ex,Attchd,2003.0,RFn,2.0,TA,None,WD,Abnorml,7.67275789664251,7.325148957955575,12.387085012375499
FV,Pave,None,Inside,Somerst,Norm,Norm,1Fam,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,1656.0,GasA,Ex,Y,SBrkr,2,Gd,None,Attchd,2006.0,RFn,3.0,TA,None,WD,Normal,7.412160334945205,7.412160334945205,12.428015476267865
RM,Pave,None,Inside,OldTown,Norm,Norm,2fmCon,2Story,4,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,736.0,GasA,Gd,Y,SBrkr,2,TA,None,None,1979.0,None,0.0,None,None,New,Partial,7.280697195384741,6.601230118728877,11.635143097694478
RL,Pave,None,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,955.0,GasA,Ex,Y,SBrkr,1,TA,None,Attchd,1966.0,Unf,1.0,TA,None,WD,Normal,6.86171134048073,6.86171134048073,11.751942365440728
RL,Pave,None,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,794.0,GasA,Gd,Y,SBrkr,2,TA,None,Attchd,1997.0,Fin,2.0,TA,None,WD,Normal,7.293017679772782,6.677083461247136,12.083905011555967
RM,Pave,None,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,PConc,TA,816.0,GasA,TA,Y,SBrkr,1,TA,Gd,Detchd,1985.0,Unf,2.0,TA,Shed,WD,Normal,7.069874128458572,6.704414354964107,11.648330101976432
RM,Grvl,None,Corner,IDOTRR,RRNn,Norm,Duplex,1Story,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,CBlock,Gd,816.0,GasA,TA,N,SBrkr,1,TA,None,CarPort,1963.0,Unf,2.0,TA,None,WD,Normal,6.704414354964107,6.704414354964107,11.608235644774552
RL,Pave,None,Inside,Veenker,Norm,Norm,1Fam,1Story,9,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,Gd,CBlock,Ex,1842.0,GasA,Gd,Y,SBrkr,0,Gd,Gd,Attchd,1981.0,Fin,3.0,TA,None,WD,Normal,7.518607216815252,7.518607216815252,12.86099861326992
RL,Pave,None,Inside,NAmes,Norm,Norm,1Fam,SLvl,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,384.0,GasA,TA,Y,SBrkr,1,TA,TA,Detchd,1962.0,Unf,2.0,TA,None,WD,Normal,7.215239978730097,7.215239978730097,11.77528972943772
RL,Pave,None,Inside,NAmes,Norm,Norm,1Fam,1Story,6,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,CBlock,TA,1425.0,GasA,Gd,Y,SBrkr,2,TA,Gd,Attchd,1964.0,RFn,2.0,TA,None,WD,Normal,7.261927092702751,7.261927092702751,12.103486056755072
FV,Pave,Pave,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,PConc,Gd,970.0,GasA,Ex,Y,SBrkr,2,Gd,None,Attchd,1999.0,Fin,2.0,TA,None,WD,Abnorml,7.461065514354283,6.890609120147166,12.058152515453552
RL,Pave,None,Corner,CollgCr,Norm,Norm,1Fam,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,860.0,GasA,Ex,Y,SBrkr,2,Gd,None,Attchd,2004.0,RFn,2.0,TA,None,WD,Normal,7.450079569807499,6.756932389247553,12.188417710291453
RL,Pave,None,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,10,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,Ex,PConc,Ex,1410.0,GasA,Ex,Y,SBrkr,3,Gd,Gd,BuiltIn,2006.0,Fin,3.0,TA,None,New,Partial,7.987864096085687,7.262628600974241,12.991753427493052
RL,Pave,None,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,780.0,GasA,Ex,Y,SBrkr,1,TA,None,Detchd,1973.0,Unf,1.0,TA,None,WD,Normal,6.659293919683638,6.659293919683638,11.73526869611367
RL,Pave,None,Inside,SawyerW,RRAe,Norm,1Fam,1Story,6,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,1158.0,GasA,Ex,Y,SBrkr,1,Gd,None,Detchd,2006.0,Unf,2.0,TA,None,New,Partial,7.05444965813294,7.05444965813294,11.970350312009105
RM,Pave,None,Inside,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,530.0,GasA,TA,N,SBrkr,1,Fa,None,Detchd,1935.0,Unf,1.0,TA,None,WD,Normal,7.01301578963963,6.364750756851911,11.522875795823397
RL,Pave,None,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,PConc,Gd,1370.0,GasA,Ex,Y,SBrkr,2,Gd,Gd,Attchd,2006.0,RFn,2.0,TA,None,WD,Normal,7.222566018822171,7.222566018822171,12.218495165528731
RM,Pave,None,Inside,OldTown,RRAn,Feedr,1Fam,2Story,7,1921,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,BrkTil,TA,576.0,GasA,Gd,Y,SBrkr,2,TA,None,Detchd,1990.0,Unf,2.0,TA,None,WD,Normal,7.444248649496705,6.804614520062624,11.84939770159144
RL,Pave,None,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,573.0,TA,PConc,Gd,1057.0,GasA,Ex,Y,SBrkr,2,Gd,None,Attchd,1998.0,RFn,2.0,TA,None,WD,Normal,7.617759576608505,6.963189985870238,12.299107511497363
RL,Pave,None,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,344.0,Gd,PConc,Ex,1143.0,GasA,Ex,Y,SBrkr,2,Gd,Gd,BuiltIn,2004.0,RFn,3.0,TA,None,WD,Normal,7.813187267521416,7.04141166379481,12.666657052859417
RL,Pave,None,Inside,NAmes,PosA,Norm,1Fam,1Story,7,1970,1989,Gable,CompShg,Plywood,Plywood,BrkFace,287.0,TA,CBlock,Gd,1947.0,GasA,TA,Y,SBrkr,2,TA,Gd,Attchd,1970.0,RFn,2.0,TA,None,WD,Normal,7.699389406256737,7.699389406256737,12.100712129872347
RL,Pave,None,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,167.0,Gd,PConc,Gd,1453.0,GasA,Ex,Y,SBrkr,2,Gd,None,Attchd,2003.0,RFn,2.0,TA,None,WD,Normal,7.2991214627108,7.2991214627108,12.328290278254423
RM,Pave,None,Corner,OldTown,Artery,Norm,1Fam,1Story,4,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,747.0,GasA,TA,Y,SBrkr,1,TA,None,Attchd,1945.0,Unf,1.0,TA,None,WD,Normal,6.616065185132817,6.616065185132817,11.289781913656018
RL,Pave,None,Corner,ClearCr,Norm,Norm,1Fam,1.5Fin,7,1953,1953,Gable,CompShg,BrkFace,AsbShng,None,0.0,Gd,CBlock,TA,1304.0,GasW,TA,Y,SBrkr,2,TA,TA,Attchd,1953.0,Fin,2.0,TA,None,WD,Normal,7.734996194022781,7.1731917424865985,12.323855681186558
RL,Pave,None,Inside,NAmes,Norm,Norm,1Fam,1Story,7,1973,1973,Gable,CompShg,Plywood,Plywood,BrkFace,1115.0,TA,CBlock,Gd,2223.0,GasA,Ex,Y,SBrkr,2,TA,Gd,Attchd,1973.0,Fin,2.0,TA,None,WD,Normal,7.706612913964197,7.706612913964197,12.404923504275338
RL,Pave,None,Corner,Mitchel,Norm,Norm,1Fam,1Story,4,1982,2006,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,CBlock,TA,845.0,GasA,TA,Y,SBrkr,1,TA,None,Detchd,1987.0,Unf,2.0,TA,None,WD,Normal,6.739336627357174,6.739336627357174,11.771436160121729
RL,Pave,None,Corner,Gilbert,Norm,Norm,1Fam,2Story,7,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,TA,PConc,Gd,832.0,GasA,Gd,Y,SBrkr,2,TA,TA,Attchd,1998.0,Fin,2.0,TA,None,WD,Normal,7.4489161025442,6.785587645007929,12.128111104060462
RL,Pave,None,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1954,2003,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,104.0,TA,CBlock,TA,1086.0,GasA,Gd,Y,SBrkr,1,TA,None,Attchd,1989.0,Unf,2.0,TA,None,WD,Normal,6.990256500493881,6.990256500493881,11.883799128308773
RM,Pave,None,Corner,OldTown,Norm,Norm,1Fam,2Story,3,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,None,0.0,Gd,CBlock,Fa,840.0,GasA,Gd,N,SBrkr,2,TA,None,Detchd,1915.0,Unf,1.0,TA,None,WD,Normal,7.380879035564116,6.733401891837359,11.584315461056901
RM,Pave,None,Inside,MeadowV,Norm,Norm,Twnhs,SLvl,4,1973,1973,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,CBlock,Gd,462.0,GasA,TA,Y,SBrkr,1,TA,None,BuiltIn,1973.0,Unf,1.0,TA,None,WD,Normal,6.895682697747868,6.26530121273771,11.418614785498987
RL,Pave,None,Inside,NAmes,Norm,Norm,1Fam,1Story,4,1956,1956,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,952.0,GasA,Ex,Y,FuseA,1,TA,None,Detchd,1956.0,Unf,1.0,TA,None,WD,Normal,6.858565034791365,6.858565034791365,11.818570237796182
RM,Pave,None,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,5,1948,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,672.0,GasA,TA,Y,SBrkr,1,TA,None,Detchd,1948.0,Unf,1.0,TA,None,WD,Normal,7.158513997329321,6.977281341630747,11.751942365440728
RL,Pave,None,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,1968,1968,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,1768.0,GasA,TA,N,SBrkr,2,TA,None,None,1979.0,None,0.0,None,None,WD,Normal,7.477604243197589,7.477604243197589,11.824079893607152
